0,1,2,3,4,5
80.6,47.01,80.3,70.5,80.69,42.89
81.7,47.55,80.87,70.5,81.44,42.96
80.57,47.45,79.94,69.95,81.4,43.5
80.17,47.66,80.78,71.01,81.76,43.435
80.81,48.11,81.7,71.44,82.63,43.42
81.58,48.01,82.86,71.87,82.75,43.61
81.17,47.59,81.91,71.68,82.43,43.35
80.53,47.24,81.89,71.61,81.88,42.53
80.43,47.42,81.31,71.98,81.25,42.78
81.38,47.45,82.33,72.91,81.65,43.825
82.55,47.7,83.33,73.74,81.95,43.81
81.37,47.36,82.63,74.07,81.59,43.84
81.87,46.92,83.61,74.52,81.35,43.49
82.29,47.06,81.48,74.36,81.84,43.4
81.64,46.54,81.13,74.48,82.84,43.29
81.86,46.26,80.91,74.16,82.32,42.75
81.88,45.59,81.15,73.73,82.96,42.64
81.47,45.64,82.21,73.65,81.46,42.42
81.46,46.09,81.47,72.75,80.33,42.33
82.75,46.74,80.86,73.5,81.72,43.56
82.9,46.98,80.51,73.72,82.42,43.31
83.07,46.75,79.94,74.05,82.78,43.01
81.75,45.99,78.94,72.14,81.62,42.15
81.9,45.92,78.56,71.01,81.09,41.97
81.61,45.8,78.95,70.48,81.12,41.53
81.85,45.9,79.35,71.06,80.94,41.755
81.82,45.53,79.51,70.73,80.56,41.94
83.93,45.85,80.83,72.38,81.74,42.55
83.09,46.01,80.54,72.39,81.6,42.69
82.94,45.99,80.17,73.35,81.77,43.42
82.68,46.11,80.22,74.35,82.3,44.08
83.62,46.19,81.14,74.13,82.74,44.425
83.47,46.17,82.6,74.85,83.03,44.35
83.41,46.37,83.07,74.69,83.22,44.28
83.25,46.67,82.61,74.78,83.15,44.46
83.89,46.93,83.0,75.3,83.19,44.75
82.36,46.15,81.12,74.57,81.92,44.17
82.6,46.16,80.28,75.1,82.32,44.54
81.74,46.12,79.92,74.24,82.04,44.45
82.3,47.35,80.86,76.51,83.13,44.7
81.9,47.2,81.69,75.62,82.91,45.29
83.65,47.98,81.34,76.08,82.83,45.22
82.52,48.06,80.9,74.7,83.45,45.07
80.92,47.67,78.87,73.94,81.63,45.15
82.91,48.34,79.53,74.02,82.74,46.11
83.4,48.71,77.67,74.84,83.57,46.34
84.02,48.78,77.72,72.76,84.6,46.27
84.15,48.51,77.13,72.52,84.14,46.2
83.7,49.01,77.92,73.16,84.24,46.25
82.76,49.39,78.12,73.4,84.75,46.06
81.29,48.44,77.4,73.2,84.05,44.99
78.41,47.25,76.25,71.6,82.34,44.08
78.93,46.46,75.58,71.65,82.91,44.06
80.08,47.44,76.8,71.71,83.21,45.05
79.55,47.0,77.06,71.26,81.32,44.61
